Team,Conference,ConferenceAbbrev,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Boston College,Atlantic Coast,ACC,Eagles,BC,Boston Col.,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Clemson,Atlantic Coast,ACC,Tigers,CLEM,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Duke,Atlantic Coast,ACC,Blue Devils,DUKE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Florida St.,Atlantic Coast,ACC,Seminoles,FSU,Florida St,Florida State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Georgia Tech,Atlantic Coast,ACC,Yellow Jackets,GT,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Louisville,Atlantic Coast,ACC,Cardinals,LOU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Miami (FL),Atlantic Coast,ACC,Hurricanes,MIA,Miami (Fla),Miami,Miami (Florida),,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
North Carolina,Atlantic Coast,ACC,Tar Heels,UNC,N Carolina,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
NC State,Atlantic Coast,ACC,Wolfpack,NCST,North Carolina St.,North Carolina St,NC St.,NC St,North Carolina State,N Carolina St,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
Pittsburgh,Atlantic Coast,ACC,Panthers,PITT,Pitt,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Syracuse,Atlantic Coast,ACC,Orange,SYR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png
Virginia,Atlantic Coast,ACC,Cavaliers,UVA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech,Atlantic Coast,ACC,Hokies,VT,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Wake Forest,Atlantic Coast,ACC,Demon Deacons,WAKE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Central Florida,American Athletic,AAC,Knights,UCF,C Florida,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
Cincinnati,American Athletic,AAC,Bearcats,CIN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Connecticut,American Athletic,AAC,Huskies,CONN,UConn,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
East Carolina,American Athletic,AAC,Pirates,ECU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png
Houston,American Athletic,AAC,Cougars,HOU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Memphis,American Athletic,AAC,Tigers,MEM,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Navy,American Athletic,AAC,Midshipmen,NAVY,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
SMU,American Athletic,AAC,Mustangs,SMU,Southern Methodist,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
South Florida,American Athletic,AAC,Bulls,USF,S Florida,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png
Temple,American Athletic,AAC,Owls,TEM,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png
Tulane,American Athletic,AAC,Green Wave,TULN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
Tulsa,American Athletic,AAC,Golden Hurricane,TLSA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png
Baylor,Big Twelve,Big 12,Bears,BAY,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Iowa St.,Big Twelve,Big 12,Cyclones,ISU,Iowa St,Iowa State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Kansas,Big Twelve,Big 12,Jayhawks,KU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas St.,Big Twelve,Big 12,Wildcats,KSU,Kansas St,Kansas State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Oklahoma,Big Twelve,Big 12,Sooners,OKLA,OU,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Oklahoma St.,Big Twelve,Big 12,Cowboys,OKST,Oklahoma St,Oklahoma State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png
TCU,Big Twelve,Big 12,Horned Frogs,TCU,Texas Christian,Texas-Christian,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
Texas,Big Twelve,Big 12,Longhorns,TEX,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png
Texas Tech,Big Twelve,Big 12,Red Raiders,TTU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
West Virginia,Big Twelve,Big 12,Mountaineers,WVU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Illinois,Big Ten,B1G,Fighting Illini,ILL,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Indiana,Big Ten,B1G,Hoosiers,IND,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Iowa,Big Ten,B1G,Hawkeyes,IOWA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Maryland,Big Ten,B1G,Terrapins,UMD,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Michigan,Big Ten,B1G,Wolverines,MICH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Michigan St.,Big Ten,B1G,Spartans,MSU,Michigan St,Michigan State,Mich. St.,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Minnesota,Big Ten,B1G,Golden Gophers,MINN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Nebraska,Big Ten,B1G,Cornhuskers,NEB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Northwestern,Big Ten,B1G,Wildcats,NW,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Ohio St.,Big Ten,B1G,Buckeyes,OSU,Ohio St,Ohio State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Penn State,Big Ten,B1G,Nittany Lions,PSU,Penn St.,Penn St,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png
Purdue,Big Ten,B1G,Boilermakers,PUR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
Rutgers,Big Ten,B1G,Scarlet Knights,RUTG,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png
Wisconsin,Big Ten,B1G,Badgers,WIS,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png
Charlotte,Conference USA,C-USA,49ers,CHAR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Florida Atlantic,Conference USA,C-USA,Owls,FAU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida Intl,Conference USA,C-USA,Golden Panthers,FIU,Florida International,Florida Int.,Florida Intl.,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Louisiana Tech,Conference USA,C-USA,Bulldogs,LT,LA Tech,La Tech,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Marshall,Conference USA,C-USA,Thundering Herd,MRSH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png
Middle Tennessee,Conference USA,C-USA,Blue Raiders,MTSU,Middle Tenn,Mid Tennessee,Middle Tenn. St.,Middle Tenn. St,Middle Tenn. State,Middle Tennessee St.,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
North Texas,Conference USA,C-USA,Mean Green,UNT,N Texas,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png
Old Dominion,Conference USA,C-USA,Monarchs,ODU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png
Rice,Conference USA,C-USA,Owls,RICE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png
Southern Miss,Conference USA,C-USA,Golden Eagles,USM,Southern Mississippi,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
UAB,Conference USA,C-USA,Blazers,UAB,Alabama-Birmingham,Alabama Birmingham,Ala-Birmingham,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png
UTEP,Conference USA,C-USA,Miners,UTEP,Texas El-Paso,Texas-El Paso,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
UTSA,Conference USA,C-USA,Roadrunners,UTSA,Texas San-Antonio,Texas-San Antonio,UT San Antonio,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
Western Kentucky,Conference USA,C-USA,Hilltoppers,WKU,W Kentucky,W. Kentucky,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png
Army,Independent (FBS),IND (FBS),Black Knights,ARMY,Army West Point,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png
BYU,Independent (FBS),IND (FBS),Cougars,BYU,Brigham Young,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Liberty,Independent (FBS),IND (FBS),Flames,LIB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Massachusetts,Independent (FBS),IND (FBS),Minutemen,UMASS,UMass,Mass,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png
New Mexico State,Independent (FBS),IND (FBS),Aggies,NMSU,New Mexico St,New Mexico St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png
Notre Dame,Independent (FBS),IND (FBS),Fighting Irish,ND,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Akron,Mid-American,MAC,Zips,AKR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Ball St.,Mid-American,MAC,Cardinals,BALL,Ball St,Ball State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Bowling Green,Mid-American,MAC,Falcons,BGSU,Bowling Green State,Bowling Green St.,Bowling Green St,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Buffalo,Mid-American,MAC,Bulls,BUFF,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
Central Michigan,Mid-American,MAC,Chippewas,CMU,Cent Michigan,C Michigan,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Eastern Michigan,Mid-American,MAC,Eagles,EMU,E Michigan,East. Michigan,East Michigan,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
